DICOMMergeFieldID,MergeFieldID,DICOMSRTemplateID,Name,Description,IsActive,ValueXPath,UnitsXPath,FindingSite,Property,Modifier,HasOBContext,HasLateralityContext
1,600000,1, ARTERY OF ABDOMEN AORTA DISTAL VESSEL LUMEN DIAMETER VESSEL LUMEN DIAMETER MOST RECENT VALUE CHOSEN 0, ARTERY OF ABDOMEN AORTA DISTAL VESSEL LUMEN DIAMETER VESSEL LUMEN DIAMETER MOST RECENT VALUE CHOSEN 0,1,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='G-0364']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='G-0364']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Artery of Abdomen,,,0,0
1,600002,1, ARTERY OF ABDOMEN AORTA DISTAL PEAK GRADIENT MOST RECENT VALUE CHOSEN, ARTERY OF ABDOMEN AORTA DISTAL PEAK GRADIENT MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='20247-3']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='20247-3']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Artery of Abdomen,,,0,0
1,600003,1, ARTERY OF ABDOMEN AORTA DISTAL PULSATILITY INDEX MOST RECENT VALUE CHOSEN, ARTERY OF ABDOMEN AORTA DISTAL PULSATILITY INDEX MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='12008-9']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='12008-9']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Artery of Abdomen,,,0,0
1,600004,1, ARTERY OF ABDOMEN AORTA DISTAL RESISTIVITY INDEX MOST RECENT VALUE CHOSEN, ARTERY OF ABDOMEN AORTA DISTAL RESISTIVITY INDEX MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='12023-8']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='12023-8']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Artery of Abdomen,,,0,0
1,600005,1, ARTERY OF ABDOMEN AORTA DISTAL SYSTOLIC TO DIASTOLIC VELOCITY RATIO MOST RECENT VALUE CHOSEN, ARTERY OF ABDOMEN AORTA DISTAL SYSTOLIC TO DIASTOLIC VELOCITY RATIO MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='12144-2']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='12144-2']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Artery of Abdomen,,,0,0
1,600006,1, ARTERY OF ABDOMEN AORTA DISTAL DOPPLER CORRECTION ANGLE MOST RECENT VALUE CHOSEN, ARTERY OF ABDOMEN AORTA DISTAL DOPPLER CORRECTION ANGLE MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='C12122-01']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='C12122-01']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Artery of Abdomen,,,0,0
1,600007,1, ARTERY OF ABDOMEN AORTA DISTAL PEAK SYSTOLIC VELOCITY MOST RECENT VALUE CHOSEN, ARTERY OF ABDOMEN AORTA DISTAL PEAK SYSTOLIC VELOCITY MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='11726-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='11726-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Artery of Abdomen,,,0,0
1,600008,1, ARTERY OF ABDOMEN AORTA DISTAL END DIASTOLIC VELOCITY MOST RECENT VALUE CHOSEN, ARTERY OF ABDOMEN AORTA DISTAL END DIASTOLIC VELOCITY MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='11653-3']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='11653-3']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Artery of Abdomen,,,0,0
1,600009,1, ARTERY OF ABDOMEN AORTA DISTAL MINIMUM DIASTOLIC VELOCITY MOST RECENT VALUE CHOSEN, ARTERY OF ABDOMEN AORTA DISTAL MINIMUM DIASTOLIC VELOCITY MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='11665-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='11665-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Artery of Abdomen,,,0,0
1,600010,1, ARTERY OF ABDOMEN AORTA DISTAL MEAN GRADIENT MOST RECENT VALUE CHOSEN, ARTERY OF ABDOMEN AORTA DISTAL MEAN GRADIENT MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='20256-4']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125100']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-46002']/../../item/concept[@codValue='T-42000']/../item/concept[@codValue='G-A1F8']/../value[@codValue='G-A119']/../../item/concept[@codValue='20256-4']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Artery of Abdomen,,,0,0
