DICOMMergeFieldID,MergeFieldID,DICOMSRTemplateID,Name,Description,IsActive,ValueXPath,UnitsXPath,FindingSite,Property,Modifier,HasOBContext,HasLateralityContext
1,300000,1, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB A2DQ QLAB AEF FAC METHOD 2D MODE APICAL TWO CHAMBER MOST RECENT VALUE CHOSEN, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB A2DQ QLAB AEF FAC METHOD 2D MODE APICAL TWO CHAMBER MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19B']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-05']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-09']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19B']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-05']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-09']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Left Ventricle,,,0,0
1,300001,1, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB A2DQ QLAB AEF FAC METHOD 2D MODE APICAL FOUR CHAMBER MOST RECENT VALUE CHOSEN, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB A2DQ QLAB AEF FAC METHOD 2D MODE APICAL FOUR CHAMBER MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19C']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-05']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-09']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19C']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-05']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-09']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Left Ventricle,,,0,0
1,300002,1, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB A2DQ QLAB AEF FAC METHOD 2D MODE MOST RECENT VALUE CHOSEN, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB A2DQ QLAB AEF FAC METHOD 2D MODE MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-05']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-09']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-05']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-09']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Left Ventricle,,,0,0
1,300003,1, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB 3DQ 3D MODE MOST RECENT VALUE CHOSEN, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB 3DQ 3D MODE MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='G-0373']/../value[@codValue='T12224-01']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-06']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='G-0373']/../value[@codValue='T12224-01']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-06']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Left Ventricle,,,0,0
1,300004,1, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB 3DQA 3D MODE MOST RECENT VALUE CHOSEN, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB 3DQA 3D MODE MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='G-0373']/../value[@codValue='T12224-01']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-07']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='G-0373']/../value[@codValue='T12224-01']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-07']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Left Ventricle,,,0,0
1,300005,1, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB ACMQ QLAB GLOBAL METHOD 2D MODE APICAL TWO CHAMBER MOST RECENT VALUE CHOSEN, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB ACMQ QLAB GLOBAL METHOD 2D MODE APICAL TWO CHAMBER MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19B']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-07']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-10']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19B']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-07']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-10']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Left Ventricle,,,0,0
1,300006,1, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB ACMQ QLAB GLOBAL METHOD 2D MODE APICAL FOUR CHAMBER MOST RECENT VALUE CHOSEN, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB ACMQ QLAB GLOBAL METHOD 2D MODE APICAL FOUR CHAMBER MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19C']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-07']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-10']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19C']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-07']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-10']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Left Ventricle,,,0,0
1,300007,1, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB ACMQ QLAB GLOBAL METHOD 2D MODE MOST RECENT VALUE CHOSEN 0, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION QLAB ACMQ QLAB GLOBAL METHOD 2D MODE MOST RECENT VALUE CHOSEN 0,1,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-07']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-10']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036-99']/../value[@codValue='C99-12228-07']/../../item/concept[@codValue='G-C036']/../value[@codValue='C12228-10']/../../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Left Ventricle,,,0,0
1,300008,1, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION METHOD OF DISKS SINGLE PLANE 2D MODE APICAL TWO CHAMBER, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION METHOD OF DISKS SINGLE PLANE 2D MODE APICAL TWO CHAMBER,1,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19B']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036']/../value[@codValue='125208']/../../value,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19B']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036']/../value[@codValue='125208']/../../unit,Left Ventricle,,,0,0
1,300009,1, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION METHOD OF DISKS SINGLE PLANE 2D MODE APICAL FOUR CHAMBER, LEFT VENTRICLE LEFT VENTRICULAR EJECTION FRACTION LEFT VENTRICULAR EJECTION FRACTION METHOD OF DISKS SINGLE PLANE 2D MODE APICAL FOUR CHAMBER,1,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19C']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036']/../value[@codValue='125208']/../../value,/report/document/content/item/concept[@codValue='125200']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C0E3']/../value[@codValue='T-32600']/../../item/concept[@codValue='125007']/../item/concept[@codValue='18043-0']/../item/concept[@codValue='111031']/../value[@codValue='G-A19C']/../../item/concept[@codValue='G-0373']/../value[@codValue='G-03A2']/../../item/concept[@codValue='G-C036']/../value[@codValue='125208']/../../unit,Left Ventricle,,,0,0
