DICOMMergeFieldID,MergeFieldID,DICOMSRTemplateID,Name,Description,IsActive,ValueXPath,UnitsXPath,FindingSite,Property,Modifier,HasOBContext,HasLateralityContext
1,200000,1, PELVIS AND UTERUS UTERUS UTERUS HEIGHT, PELVIS AND UTERUS UTERUS UTERUS HEIGHT,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11859-6']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11859-6']/../unit,Pelvis and Uterus,NULL,NULL,0,0
2,200001,1, PELVIS AND UTERUS UTERUS UTERUS HEIGHT MEAN MEAN VALUE CHOSEN, PELVIS AND UTERUS UTERUS UTERUS HEIGHT MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11859-6']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11859-6']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Pelvis and Uterus,NULL,NULL,0,0
3,200002,1, PELVIS AND UTERUS UTERUS UTERUS LENGTH, PELVIS AND UTERUS UTERUS UTERUS LENGTH,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11842-2']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11842-2']/../unit,Pelvis and Uterus,NULL,NULL,0,0
4,200003,1, PELVIS AND UTERUS UTERUS UTERUS LENGTH MEAN MEAN VALUE CHOSEN, PELVIS AND UTERUS UTERUS UTERUS LENGTH MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11842-2']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11842-2']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Pelvis and Uterus,NULL,NULL,0,0
5,200004,1, PELVIS AND UTERUS UTERUS UTERUS WIDTH, PELVIS AND UTERUS UTERUS UTERUS WIDTH,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11865-3']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11865-3']/../unit,Pelvis and Uterus,NULL,NULL,0,0
6,200005,1, PELVIS AND UTERUS UTERUS UTERUS WIDTH MEAN MEAN VALUE CHOSEN, PELVIS AND UTERUS UTERUS UTERUS WIDTH MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11865-3']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='11865-3']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Pelvis and Uterus,NULL,NULL,0,0
7,200006,1, PELVIS AND UTERUS UTERUS UTERUS VOLUME, PELVIS AND UTERUS UTERUS UTERUS VOLUME,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='33192-6']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='T-83000']/../item/concept[@codValue='33192-6']/../unit,Pelvis and Uterus,NULL,NULL,0,0
8,200007,1, PELVIS AND UTERUS CERVIX LENGTH, PELVIS AND UTERUS CERVIX LENGTH,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='11961-0']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='11961-0']/../unit,Pelvis and Uterus,NULL,NULL,0,0
9,200008,1, PELVIS AND UTERUS CERVIX LENGTH MEAN MEAN VALUE CHOSEN, PELVIS AND UTERUS CERVIX LENGTH MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='11961-0']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='11961-0']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Pelvis and Uterus,NULL,NULL,0,0
10,200009,1, PELVIS AND UTERUS ENDOMETRIUM THICKNESS, PELVIS AND UTERUS ENDOMETRIUM THICKNESS,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='12145-9']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='12145-9']/../unit,Pelvis and Uterus,NULL,NULL,0,0
11,200010,1, PELVIS AND UTERUS ENDOMETRIUM THICKNESS MEAN MEAN VALUE CHOSEN, PELVIS AND UTERUS ENDOMETRIUM THICKNESS MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='12145-9']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='12145-9']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Pelvis and Uterus,NULL,NULL,0,0
12,200011,1, PELVIS AND UTERUS BLADDER HEIGHT MOST RECENT VALUE CHOSEN, PELVIS AND UTERUS BLADDER HEIGHT MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='C12011-03']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='C12011-03']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Pelvis and Uterus,NULL,NULL,0,0
13,200012,1, PELVIS AND UTERUS BLADDER LENGTH MOST RECENT VALUE CHOSEN, PELVIS AND UTERUS BLADDER LENGTH MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='C12011-01']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125011']/../item/concept[@codValue='C12011-01']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Pelvis and Uterus,NULL,NULL,0,0
