DICOMMergeFieldID,MergeFieldID,DICOMSRTemplateID,Name,Description,IsActive,ValueXPath,UnitsXPath,FindingSite,Property,Modifier,HasOBContext,HasLateralityContext
1,400000,2, SUMMARY EDD FROM AVERAGE ULTRASOUND AGE, SUMMARY EDD FROM AVERAGE ULTRASOUND AGE,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121111']/../item/concept[@codValue='11781-2']/../value,,Summary,,,0,0
1,400001,2, SUMMARY NUMBER OF FETUSES, SUMMARY NUMBER OF FETUSES,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121111']/../item/concept[@codValue='11878-6']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121111']/../item/concept[@codValue='11878-6']/../unit,Summary,,,0,0
1,400002,2, SUMMARY FETUS SUMMARY FETUS ID, SUMMARY FETUS SUMMARY FETUS ID,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121111']/../item/concept[@codValue='125008']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='11951-1']/../value,,Fetus Summary,,,0,0
1,400003,2, SUMMARY FETUS SUMMARY ESTIMATED WEIGHT EFW BY AC BPD FL HC HADLOCK 1985, SUMMARY FETUS SUMMARY ESTIMATED WEIGHT EFW BY AC BPD FL HC HADLOCK 1985,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121111']/../item/concept[@codValue='125008']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='11727-5']/../item/concept[@codValue='121420']/../value[@codValue='11732-5']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121111']/../item/concept[@codValue='125008']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='11727-5']/../item/concept[@codValue='121420']/../value[@codValue='11732-5']/../../unit,Fetus Summary,,,0,0
1,400004,2, SUMMARY FETUS SUMMARY FETAL HEART RATE MOST RECENT VALUE CHOSEN, SUMMARY FETUS SUMMARY FETAL HEART RATE MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121111']/../item/concept[@codValue='125008']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='11948-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121111']/../item/concept[@codValue='125008']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='11948-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Fetus Summary,,,0,0
1,400005,2, SUMMARY FETUS SUMMARY COMPOSITE ULTRASOUND AGE, SUMMARY FETUS SUMMARY COMPOSITE ULTRASOUND AGE,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121111']/../item/concept[@codValue='125008']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='11888-5']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121111']/../item/concept[@codValue='125008']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='11888-5']/../unit,Fetus Summary,,,0,0
1,400006,2, FETAL BIOMETRY FETUS ID, FETAL BIOMETRY FETUS ID,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125002']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='11951-1']/../value,,Fetal Biometry,,,0,0
1,400007,2, FETAL BIOMETRY TRANSVERSE THORACIC DIAMETER TRANSVERSE THORACIC DIAMETER, FETAL BIOMETRY TRANSVERSE THORACIC DIAMETER TRANSVERSE THORACIC DIAMETER,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125002']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='125005']/../item/concept[@codValue='11864-6']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125002']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='125005']/../item/concept[@codValue='11864-6']/../unit,Fetal Biometry,,,0,0
1,400008,2, FETAL BIOMETRY TRANSVERSE THORACIC DIAMETER TRANSVERSE THORACIC DIAMETER MEAN MEAN VALUE CHOSEN, FETAL BIOMETRY TRANSVERSE THORACIC DIAMETER TRANSVERSE THORACIC DIAMETER MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125002']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='125005']/../item/concept[@codValue='11864-6']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125002']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='125005']/../item/concept[@codValue='11864-6']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Fetal Biometry,,,0,0
1,400009,2, FETAL BIOMETRY ABDOMINAL CIRCUMFERENCE ABDOMINAL CIRCUMFERENCE, FETAL BIOMETRY ABDOMINAL CIRCUMFERENCE ABDOMINAL CIRCUMFERENCE,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125002']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='125005']/../item/concept[@codValue='11979-2']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='125002']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='125005']/../item/concept[@codValue='11979-2']/../unit,Fetal Biometry,,,0,0
